"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"DCJ250-20-B-K1-A","GCT","2073-DCJ250-20-B-K1-ACT-ND","","","Cut Tape (CT)","Active","3","1,12000","3,36 €","0","9 Weeks","DC HIGH POWER JACK, THRU HOLE, H","ROHS3 Compliant","Lead free","Not Available"
"1N5240B-TAP","Vishay General Semiconductor - Diodes Division","1N5240B-TAPGICT-ND","","","Cut Tape (CT)","Active","20","0,14300","2,86 €","13720","20 Weeks","DIODE ZENER 10V 500MW DO35","ROHS3 Compliant","Lead free","REACH Unaffected"
"OKI-78SR-5/1.5-W36-C","Murata Power Solutions Inc.","811-2196-5-ND","","","Tray","Active","2","3,56000","7,12 €","6051","14 Weeks","DC DC CONVERTER 5V 8W","RoHS Compliant","Lead free","REACH Unaffected"
"OKI-78SR-3.3/1.5-W36-C","Murata Power Solutions Inc.","811-2195-5-ND","","","Tray","Active","1","3,56000","3,56 €","2004","14 Weeks","DC DC CONVERTER 3.3V 5W","RoHS Compliant","Lead free","REACH Unaffected"
"OKI-78SR-12/1.0-W36-C","Murata Power Solutions Inc.","811-3293-ND","","","Tray","Active","3","3,56000","10,68 €","456","14 Weeks","DC DC CONVERTER 12V 12W","RoHS Compliant","Lead free","REACH Unaffected"
"BXRC-30H4000-F-23","Bridgelux","976-1262-ND","","","Tray","Active","3","11,58000","34,74 €","68","4 Weeks","LED ARRAY 4000LM WARM WHITE COB","RoHS Compliant","Lead free","REACH Unaffected"
"IR2136PBF","Infineon Technologies","IR2136PBF-ND","","","Tube","Active","3","5,38000","16,14 €","221","26 Weeks","IC GATE DRVR HALF-BRIDGE 28DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"PDB12-H4301-103BF","Bourns Inc.","PDB12-H4301-103BF-ND","","","Bulk","Active","3","0,84000","2,52 €","1844","20 Weeks","POT 10K OHM 0.08W CARBON LINEAR","ROHS3 Compliant","Lead free","REACH Unaffected"
"RR11131100-214","E-Switch","EG5656-ND","","","Bulk","Active","2","0,96000","1,92 €","969","10 Weeks","SWITCH ROCKER SPST 10A 125V","ROHS3 Compliant","Lead free","REACH Unaffected"
"PEC12R-4225F-S0024","Bourns Inc.","PEC12R-4225F-S0024-ND","","","Tray","Active","3","0,97000","2,91 €","0","24 Weeks","ROTARY ENCODER MECHANICAL 24PPR","ROHS3 Compliant","Lead free","REACH Unaffected"
"245-28-1-06","CNC Tech","1175-1490-ND","","","Tube","Active","5","0,31000","1,55 €","2204","18 Weeks","CONN IC DIP SOCKET 28POS TIN","ROHS3 Compliant","Lead free","REACH Unaffected"
"DMNH10H028SCT","Diodes Incorporated","DMNH10H028SCTDI-5-ND","","","Tube","Active","15","1,12700","16,90 €","1150","52 Weeks","MOSFET N-CH 100V 60A TO220AB","ROHS3 Compliant","Contains lead","REACH Affected"
"0430250600","Molex","WM1785-ND","","","Bulk","Active","3","0,40000","1,20 €","38688","9 Weeks","CONN RECEPT 6POS 3MM VERT DUAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN74HC14N","Texas Instruments","296-1577-5-ND","","","Tube","Active","5","0,54000","2,70 €","14748","35 Weeks","IC INVERT SCHMITT 6CH 6-IN 14DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"BC847BW-7-F","Diodes Incorporated","BC847BW-FDICT-ND","","","Cut Tape (CT)","Active","5","0,17000","0,85 €","501716","18 Weeks","TRANS NPN 45V 0.1A SC70-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"1655","Adafruit Industries LLC","1528-1104-ND","","","Strip","Active","20","3,72000","74,40 €","3197","2 Weeks","ADDRESS LED DISC SERIAL RGB 1=10","ROHS3 Compliant","Lead free","Not Available"
"ATS-PCBT1094","Advanced Thermal Solutions Inc.","ATS2136-ND","","","Bulk","Active","12","0,42600","5,11 €","1510","6 Weeks","HEATSINK TO-220","ROHS3 Compliant","Lead free","Not Available"
"LDH-45B-1050","MEAN WELL USA Inc.","1866-3127-ND","","","Tray","Active","3","10,11000","30,33 €","0","15 Weeks","LED DRIVER CC BOOST 21-43V 1.05A","ROHS3 Compliant","Lead free","Not Available"